method_id,method,metric,p05,median,p95,mean
visual_estimation,Visual age estimation by staff,adult_adverse_outcomes_per_minor_consumption_prevented,1.207704366549207,2.2976298921867784,4.236899967295948,2.458716330136543
visual_estimation,Visual age estimation by staff,adult_checks_per_minor_purchase_prevented,8.460739770691667,12.90812608855446,20.174211816029857,13.436842533128795
visual_estimation,Visual age estimation by staff,identity_proofing_events,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,identity_records_created,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,centralized_identity_records,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,centralized_records_at_risk,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,expected_routine_records_exposed,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,expected_catastrophic_records_exposed,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,expected_records_exposed,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,transient_identity_images,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,biometric_scans,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,credential_assertions,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,third_party_disclosures,0.0,0.0,0.0,0.0
visual_estimation,Visual age estimation by staff,total_annual_cost,8714.199550238736,17820.177320364484,31029.801443332155,18668.51118241516
visual_estimation,Visual age estimation by staff,cost_per_minor_purchase_prevented,6.384910455079431,14.458967622535777,29.567044066581833,15.785416531418816
visual_estimation,Visual age estimation by staff,cost_per_minor_consumption_prevented,9.14930365047895,21.2566641390548,45.33827020147536,23.515670314532855
photo_id_visual,"Government photo ID, visual inspection",minor_purchases_prevented,2267.7079225979173,3057.0232843884028,4039.8821008340724,3093.2263250993883
photo_id_visual,"Government photo ID, visual inspection",minor_substitution_events,573.9640060375424,1117.3378309307784,1870.8459152974342,1156.8149281471576
photo_id_visual,"Government photo ID, visual inspection",minor_consumption_prevented,1213.3163487162283,1899.974004717634,2784.053737093391,1936.411396952231
photo_id_visual,"Government photo ID, visual inspection",minor_purchases_permitted,669.498381767063,1073.7640169025146,1629.112195532415,1102.0964129876359
photo_id_visual,"Government photo ID, visual inspection",adult_false_rejections,327.8610175330009,709.728422782546,1302.481399534241,751.2426750804896
photo_id_visual,"Government photo ID, visual inspection",adult_abandonments,1205.8962677765892,2274.396075936473,3756.336896598546,2352.743579510465
photo_id_visual,"Government photo ID, visual inspection",adult_adverse_outcomes,1850.8913651680339,3030.9481933908723,4600.791848326588,3103.9862545909546
photo_id_visual,"Government photo ID, visual inspection",higher_friction_adult_adverse_outcomes,414.05897699269264,764.3993845306072,1340.377477108356,807.0458798375729
photo_id_visual,"Government photo ID, visual inspection",adult_adverse_outcomes_per_minor_purchase_prevented,0.6069417400886188,0.9943119226419197,1.5170230709419392,1.0190672947917168
photo_id_visual,"Government photo ID, visual inspection",adult_adverse_outcomes_per_minor_consumption_prevented,0.9146457074921367,1.5990277621834958,2.7287979417974104,1.6823376622945903
photo_id_visual,"Government photo ID, visual inspection",adult_checks_per_minor_purchase_prevented,4.478250592237169,5.80340681276671,7.5234602320672135,5.873428915814347
photo_id_visual,"Government photo ID, visual inspection",identity_proofing_events,16219.832683865694,21232.317686694747,27109.360124094273,21387.15040191775
photo_id_visual,"Government photo ID, visual inspection",identity_records_created,0.0,0.0,0.0,0.0
photo_id_visual,"Government photo ID, visual inspection",centralized_identity_records,0.0,0.0,0.0,0.0
photo_id_visual,"Government photo ID, visual inspection",centralized_records_at_risk,0.0,0.0,0.0,0.0
photo_id_visual,"Government photo ID, visual inspection",expected_routine_records_exposed,0.0,0.0,0.0,0.0
photo_id_visual,"Government photo ID, visual inspection",expected_catastrophic_records_exposed,0.0,0.0,0.0,0.0
photo_id_visual,"Government photo ID, visual inspection",expected_records_exposed,0.0,0.0,0.0,0.0
photo_id_visual,"Government photo ID, visual inspection",transient_identity_images,0.0,0.0,0.0,0.0
photo_id_visual,"Government photo ID, visual inspection",biometric_scans,0.0,0.0,0.0,0.0
photo_id_visual,"Government photo ID, visual inspection",credential_assertions,0.0,0.0,0.0,0.0
photo_id_visual,"Government photo ID, visual inspection",third_party_disclosures,0.0,0.0,0.0,0.0
photo_id_visual,"Government photo ID, visual inspection",total_annual_cost,20090.405921886846,37705.36165142877,63366.00474869762,39338.65844000085
photo_id_visual,"Government photo ID, visual inspection",cost_per_minor_purchase_prevented,6.276686359930736,12.354584611610537,22.406084356728623,13.08740070623775
photo_id_visual,"Government photo ID, visual inspection",cost_per_minor_consumption_prevented,9.657126269248588,19.932260545738682,39.229964223842096,21.603522638044442
document_upload,Document upload,minor_purchases_prevented,2292.453777666985,3089.8629052591023,4094.396914600918,3127.208693333889
document_upload,Document upload,minor_substitution_events,669.5111439336057,1265.3956261868534,2067.8758621392594,1301.74650438196
document_upload,Document upload,minor_consumption_prevented,1106.9624342622967,1788.4446546109534,2676.403993141107,1825.4621889519292
document_upload,Document upload,minor_purchases_permitted,619.330710554648,1039.7866397779264,1614.6359226247384,1068.1140447531352
document_upload,Document upload,adult_false_rejections,463.538412885823,969.485926502859,1806.9317715577927,1032.439341270088
document_upload,Document upload,adult_abandonments,2539.3656102955233,4395.620937953482,7047.3344815016235,4544.500135323887
document_upload,Document upload,adult_adverse_outcomes,3520.6087509490185,5453.292481055683,8041.7090664806165,5576.939476593976
document_upload,Document upload,higher_friction_adult_adverse_outcomes,874.885597561477,1547.417668494554,2595.663843573739,1617.1588212563372
