method_id,method,description,policy_family,channel,population,total_purchase_attempts,minor_purchase_attempts,adult_purchase_attempts,minor_purchases_prevented,minor_substitution_events,minor_consumption_prevented,minor_purchases_permitted,adult_correctly_permitted,adult_false_rejections,adult_abandonments,adult_adverse_outcomes,higher_friction_adult_adverse_outcomes,adult_verification_checks,minor_verification_checks,total_verification_checks,identity_proofing_events,identity_records_created,centralized_identity_records,centralized_records_at_risk,expected_routine_records_exposed,expected_catastrophic_records_exposed,expected_records_exposed,third_party_disclosures,credential_assertions,biometric_scans,transient_identity_images,total_annual_cost,adult_adverse_outcomes_per_minor_purchase_prevented,adult_adverse_outcomes_per_minor_consumption_prevented,adult_checks_per_minor_purchase_prevented,records_per_minor_purchase_prevented,records_per_minor_consumption_prevented,cost_per_minor_purchase_prevented,cost_per_minor_consumption_prevented
no_verification,No verification,Baseline with no age check.,baseline,all,100000.0,25000.0,4000.0,21000.0,0.0,0.0,0.0,4000.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
self_declaration,Self-declared age,A checkbox or date-of-birth assertion without documentary proof.,declaration,online_or_checkout,100000.0,25000.0,4000.0,21000.0,86.40000000000003,25.92000000000001,60.480000000000025,3913.6,20871.79836,21.101640000000003,107.1,128.20164,14.896139999999999,21000.0,4000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,1.483815277777777,2.11973611111111,243.05555555555546,0.0,0.0,30.381944444444432,43.40277777777776
visual_estimation,Visual age estimation by staff,A staff member estimates age and may refuse or request proof.,human_estimation,in_person,100000.0,25000.0,4000.0,21000.0,1210.0,363.0,847.0,2790.0,19342.8795,1326.3705,330.75,1657.1205,256.6305,15750.0,3000.0,18750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500.0,1.3695210743801653,1.9564586776859505,13.016528925619834,0.0,0.0,11.15702479338843,15.938606847697757
photo_id_visual,"Government photo ID, visual inspection",A person inspects an accepted photo ID without scanning or retaining it.,document_inspection,in_person,100000.0,25000.0,4000.0,21000.0,3083.2,1079.12,2004.08,916.8000000000002,18460.68,556.9200000000001,1982.4,2539.32,592.62,17850.0,3400.0,21250.0,21250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28825.0,0.8235988583290089,1.2670751666600137,5.7894395433316035,0.0,0.0,9.349052932018683,14.383158356951819
document_upload,Document upload,A user submits an identity document to an online verifier.,remote_document,online,100000.0,25000.0,4000.0,21000.0,3104.0,1241.6000000000001,1862.3999999999999,896.0,16503.48,821.52,3675.0000000000005,4496.52,1200.3600000000001,21000.0,4000.0,25000.0,25000.0,25000.0,22500.0,22500.0,337.5,16.875,354.375,25000.0,0.0,0.0,25000.0,78750.0,1.4486211340206188,2.414368556701031,6.765463917525773,8.054123711340207,13.423539518900345,25.370489690721648,42.28414948453609
facial_age_estimation,Facial age estimation,A face image is used to estimate whether a user is above the threshold.,biometric_estimation,online_or_kiosk,100000.0,25000.0,4000.0,21000.0,2448.0,979.2,1468.8,1552.0,17925.054,1487.346,1587.6000000000004,3074.9460000000004,521.556,21000.0,4000.0,25000.0,25000.0,3750.0,1500.0,375.0,3.75,0.28125,4.03125,25000.0,0.0,25000.0,25000.0,48750.0,1.2561053921568628,2.093508986928105,8.57843137254902,1.5318627450980393,2.553104575163399,19.91421568627451,33.19035947712418
reusable_age_token,Reusable third-party age token,A verifier performs occasional full proofing and issues a reusable over-threshold credential.,federated_credential,online_and_in_person,100000.0,25000.0,4000.0,21000.0,2995.2,1198.08,1797.12,1004.8000000000002,18929.274,583.926,1486.8,2070.726,492.576,19950.0,3800.0,23750.0,3562.5,3562.5,2137.5,4275.0,42.75,3.2062500000000003,45.95625,27312.5,23750.0,0.0,3562.5,104275.0,0.6913481570512822,1.1522469284188035,6.660657051282052,1.189403044871795,1.9823384081196582,34.81403579059829,58.023392984330485
in_person_enrolment,In-person enrolment for later online access,A user verifies in person before receiving a reusable online credential.,in_person_credential,hybrid,100000.0,25000.0,4000.0,21000.0,3546.0,1595.7,1950.3,454.0,13897.065,223.335,6879.600000000001,7102.935000000001,1606.815,21000.0,4000.0,25000.0,4500.0,4500.0,2250.0,4500.0,22.5,2.16,24.66,27250.0,25000.0,0.0,2250.0,176250.0,2.003083756345178,3.641970466082142,5.922165820642978,1.2690355329949239,2.3073373327180433,49.70389170896785,90.37071219812337
