source_id,title,url,source_role
sanctioned_law,"Sanctioned law, 2026 chapter 11",https://www.publicationsduquebec.gouv.qc.ca/fileadmin/Fichiers_client/lois_et_reglements/LoisAnnuelles/fr/2026/2026C11F.PDF,legal_text
legislative_history,National Assembly Bill 9 legislative history,https://www.assnat.qc.ca/fr/travaux-parlementaires/projets-loi/projet-loi-9-43-3.html,legislative_history
quebec_energy_drinks,Quebec government energy-drink information,https://www.quebec.ca/en/health/nutrition/healthy-eating-habits/energy-drinks,implementation_guidance
